fiscal_quarter,quarter_end_date,datacenter_revenue_billion_usd,source
Q1 FY2023,5/1/22,3.75,NVIDIA Q1 FY2023 earnings release
Q2 FY2023,7/31/22,3.81,NVIDIA Q2 FY2023 earnings release
Q3 FY2023,10/30/22,3.83,NVIDIA Q3 FY2023 earnings release
Q4 FY2023,1/29/23,3.62,NVIDIA Q4 FY2023 earnings release
Q1 FY2024,4/30/23,4.28,NVIDIA Q1 FY2024 earnings release
Q2 FY2024,7/30/23,10.32,NVIDIA Q2 FY2024 earnings release
Q3 FY2024,10/29/23,14.51,NVIDIA Q3 FY2024 earnings release
Q4 FY2024,1/28/24,18.4,NVIDIA Q4 FY2024 earnings release
Q1 FY2025,4/28/24,22.6,NVIDIA Q1 FY2025 earnings release
Q2 FY2025,7/28/24,26.3,NVIDIA Q2 FY2025 earnings release
Q3 FY2025,10/27/24,30.8,NVIDIA Q3 FY2025 earnings release
Q4 FY2025,1/26/25,35.6,NVIDIA Q4 FY2025 earnings release
Q1 FY2026,4/27/25,39.1,NVIDIA Q1 FY2026 earnings release
Q2 FY2026,7/27/25,41.1,NVIDIA Q2 FY2026 earnings release
Q3 FY2026,10/26/25,51.2,NVIDIA Q3 FY2026 earnings release
Q4 FY2026,1/25/26,62.3,NVIDIA Q4 FY2026 earnings release
Q1 FY2027,4/26/26,75.2,NVIDIA Q1 FY2027 earnings release
