period,stateid,stateDescription,sectorid,sectorName,price,price-units
2015,VA,Virginia,ALL,all sectors,9.31,cents per kilowatt-hour
2016,VA,Virginia,ALL,all sectors,9.09,cents per kilowatt-hour
2017,VA,Virginia,ALL,all sectors,9.18,cents per kilowatt-hour
2018,VA,Virginia,ALL,all sectors,9.48,cents per kilowatt-hour
2019,VA,Virginia,ALL,all sectors,9.52,cents per kilowatt-hour
2020,VA,Virginia,ALL,all sectors,9.16,cents per kilowatt-hour
2021,VA,Virginia,ALL,all sectors,9.14,cents per kilowatt-hour
2022,VA,Virginia,ALL,all sectors,10.75,cents per kilowatt-hour
2023,VA,Virginia,ALL,all sectors,10.68,cents per kilowatt-hour
2024,VA,Virginia,ALL,all sectors,10.62,cents per kilowatt-hour
2025,VA,Virginia,ALL,all sectors,11.41,cents per kilowatt-hour
2015,TX,Texas,ALL,all sectors,8.7,cents per kilowatt-hour
2016,TX,Texas,ALL,all sectors,8.43,cents per kilowatt-hour
2017,TX,Texas,ALL,all sectors,8.38,cents per kilowatt-hour
2018,TX,Texas,ALL,all sectors,8.48,cents per kilowatt-hour
2019,TX,Texas,ALL,all sectors,8.6,cents per kilowatt-hour
2020,TX,Texas,ALL,all sectors,8.36,cents per kilowatt-hour
2021,TX,Texas,ALL,all sectors,9.14,cents per kilowatt-hour
2022,TX,Texas,ALL,all sectors,10.16,cents per kilowatt-hour
2023,TX,Texas,ALL,all sectors,10.04,cents per kilowatt-hour
2024,TX,Texas,ALL,all sectors,9.79,cents per kilowatt-hour
2025,TX,Texas,ALL,all sectors,10.18,cents per kilowatt-hour
2015,OH,Ohio,ALL,all sectors,9.98,cents per kilowatt-hour
2016,OH,Ohio,ALL,all sectors,9.84,cents per kilowatt-hour
2017,OH,Ohio,ALL,all sectors,9.84,cents per kilowatt-hour
2018,OH,Ohio,ALL,all sectors,9.94,cents per kilowatt-hour
2019,OH,Ohio,ALL,all sectors,9.58,cents per kilowatt-hour
2020,OH,Ohio,ALL,all sectors,9.44,cents per kilowatt-hour
2021,OH,Ohio,ALL,all sectors,9.76,cents per kilowatt-hour
2022,OH,Ohio,ALL,all sectors,10.64,cents per kilowatt-hour
2023,OH,Ohio,ALL,all sectors,11.04,cents per kilowatt-hour
2024,OH,Ohio,ALL,all sectors,11.29,cents per kilowatt-hour
2025,OH,Ohio,ALL,all sectors,12.43,cents per kilowatt-hour
2015,CA,California,ALL,all sectors,15.42,cents per kilowatt-hour
2016,CA,California,ALL,all sectors,15.23,cents per kilowatt-hour
2017,CA,California,ALL,all sectors,16.06,cents per kilowatt-hour
2018,CA,California,ALL,all sectors,16.58,cents per kilowatt-hour
2019,CA,California,ALL,all sectors,16.89,cents per kilowatt-hour
2020,CA,California,ALL,all sectors,18,cents per kilowatt-hour
2021,CA,California,ALL,all sectors,19.65,cents per kilowatt-hour
2022,CA,California,ALL,all sectors,22.33,cents per kilowatt-hour
2023,CA,California,ALL,all sectors,24.87,cents per kilowatt-hour
2024,CA,California,ALL,all sectors,27.04,cents per kilowatt-hour
2025,CA,California,ALL,all sectors,27.63,cents per kilowatt-hour
2015,GA,Georgia,ALL,all sectors,9.62,cents per kilowatt-hour
2016,GA,Georgia,ALL,all sectors,9.59,cents per kilowatt-hour
2017,GA,Georgia,ALL,all sectors,9.83,cents per kilowatt-hour
2018,GA,Georgia,ALL,all sectors,9.62,cents per kilowatt-hour
2019,GA,Georgia,ALL,all sectors,9.86,cents per kilowatt-hour
2020,GA,Georgia,ALL,all sectors,9.93,cents per kilowatt-hour
2021,GA,Georgia,ALL,all sectors,10.43,cents per kilowatt-hour
2022,GA,Georgia,ALL,all sectors,12,cents per kilowatt-hour
2023,GA,Georgia,ALL,all sectors,11.06,cents per kilowatt-hour
2024,GA,Georgia,ALL,all sectors,11.4,cents per kilowatt-hour
2025,GA,Georgia,ALL,all sectors,12.03,cents per kilowatt-hour
